category,market,probability_bucket,bets,wins,raw_winrate,smoothed_winrate,avg_probability,avg_odds,additive_adjustment,action
football,Away Win,00-05,1,0,0.0,0.04204444444444445,0.0473,17.0,-0.005255555555555555,KEEP
football,Away Win,05-10,11,0,0.0,0.03386411483253589,0.08042727272727274,12.227272727272727,-0.04656315789473685,REDUCE
football,Away Win,10-15,25,5,0.2,0.18164751515151514,0.124296,8.47,0.04,BOOST
football,Away Win,15-20,35,4,0.11428571428571428,0.1256994019933555,0.17563428571428572,5.864571428571428,-0.04993488372093022,REDUCE
football,Away Win,20-25,47,15,0.3191489361702128,0.3056089748549323,0.22606170212765958,4.27936170212766,0.04,BOOST
football,Away Win,25-30,62,22,0.3548387096774194,0.3455010138248848,0.27313387096774194,3.4358064516129034,0.04,BOOST
football,Away Win,30-35,54,14,0.25925925925925924,0.26759115890083635,0.32383148148148144,2.9635185185185184,-0.0562403225806451,REDUCE
football,Away Win,35-40,28,9,0.32142857142857145,0.3334007936507936,0.3753035714285714,2.489642857142857,-0.04190277777777779,REDUCE
football,Away Win,40-45,21,7,0.3333333333333333,0.3586022988505747,0.42493333333333333,2.158095238095238,-0.06,REDUCE
football,Away Win,45-50,26,11,0.4230769230769231,0.4354606334841629,0.4757076923076923,1.911923076923077,-0.04024705882352936,REDUCE
football,Away Win,50-55,20,12,0.6,0.5779228571428572,0.5227299999999999,1.7005,0.04,BOOST
football,Away Win,55-60,4,2,0.5,0.5466333333333333,0.56995,1.5175,-0.023316666666666652,REDUCE
football,Away Win,60-65,6,3,0.5,0.5655904761904762,0.6147833333333333,1.485,-0.04919285714285715,REDUCE
football,Away Win,65-70,8,8,1.0,0.8332937499999999,0.6665875,1.3225,0.04,BOOST
football,Away Win,70-75,1,0,0.0,0.6528,0.7344,1.19,-0.06,REDUCE
football,Away Win,75-80,1,0,0.0,0.7002666666666666,0.7878,1.1,-0.06,REDUCE
football,Draw,10-15,6,4,0.6666666666666666,0.3647238095238095,0.13826666666666668,8.75,0.04,BOOST
football,Draw,15-20,26,3,0.11538461538461539,0.13122081447963801,0.18268846153846155,5.903846153846154,-0.051467647058823535,REDUCE
football,Draw,20-25,130,34,0.26153846153846155,0.25979937569676703,0.23153923076923077,4.280769230769231,0.028260144927536257,BOOST
football,Draw,25-30,181,50,0.27624309392265195,0.27597249846531613,0.26985027624309393,3.5273480662983427,0.006122222222222196,KEEP
football,Draw,30-35,7,2,0.2857142857142857,0.29893333333333333,0.31049999999999994,3.0471428571428567,-0.011566666666666614,KEEP
football,Home Win,05-10,2,1,0.5,0.16219999999999998,0.07775,13.5,0.04,BOOST
football,Home Win,10-15,7,0,0.0,0.06732190476190476,0.12622857142857144,9.142857142857142,-0.05890666666666668,REDUCE
football,Home Win,15-20,9,1,0.1111111111111111,0.13925751633986927,0.17092222222222223,5.972222222222222,-0.031664705882352956,REDUCE
football,Home Win,20-25,18,2,0.1111111111111111,0.1473094017094017,0.22875555555555557,4.895,-0.06,REDUCE
football,Home Win,25-30,33,11,0.3333333333333333,0.32086858832224685,0.26945151515151516,3.7090909090909094,0.04,BOOST
football,Home Win,30-35,30,13,0.43333333333333335,0.4104035087719298,0.3244166666666667,3.013,0.04,BOOST
football,Home Win,35-40,34,11,0.3235294117647059,0.3342823529411764,0.37998235294117644,2.553235294117647,-0.04570000000000002,REDUCE
football,Home Win,40-45,57,24,0.42105263157894735,0.42153716599190283,0.42498947368421053,2.2457894736842103,-0.003452307692307699,KEEP
football,Home Win,45-50,56,25,0.44642857142857145,0.4499185267857143,0.47434821428571433,1.9782142857142857,-0.02442968750000002,REDUCE
