team,player,position,minutes,goals,assists,shots,shots_on,penalties,scorer_score
1899 Hoffenheim,Benjamin Lade,Goalkeeper,0,0,0,0,0,0,0.0
AC Milan,D. Maldini,Attacker,0,0,0,0,0,0,0.0
AC Milan,D. Origi,Attacker,0,0,0,0,0,0,0.0
AC Milan,D. Vásquez,Goalkeeper,0,0,0,0,0,0,0.0
AC Milan,F. Ballo-Touré,Defender,0,0,0,0,0,0,0.0
AS Roma,A. Belotti,Attacker,0,0,0,0,0,0,0.0
AS Roma,D. Mastrantonio,Goalkeeper,0,0,0,0,0,0,0.0
Alaves,G. Simeone,Attacker,0,0,0,0,0,0,0.0
Alaves,Gorosabel,Defender,0,0,0,0,0,0,0.0
Alaves,I. Hagi,Midfielder,0,0,0,0,0,0,0.0
Alaves,Rafa Marín,Defender,0,0,0,0,0,0,0.0
Alaves,Samu,Attacker,0,0,0,0,0,0,0.0
Alaves,Unai Ropero,Attacker,0,0,0,0,0,0,0.0
Alaves,Álex Sola,Midfielder,0,0,0,0,0,0,0.0
Arsenal,A. Cozier-Duberry,Midfielder,0,0,0,0,0,0,0.0
Arsenal,Cédric Soares,Defender,0,0,0,0,0,0,0.0
Arsenal,James Lannin-Sweet,Defender,0,0,0,0,0,0,0.0
Arsenal,Mauro Bandeira,Midfielder,0,0,0,0,0,0,0.0
Arsenal,Mohamed Elneny,Midfielder,0,0,0,0,0,0,0.0
Arsenal,R. Walters,Defender,0,0,0,0,0,0,0.0
Aston Villa,C. Lenglet,Defender,0,0,0,0,0,0,0.0
Aston Villa,F. Marschall,Goalkeeper,0,0,0,0,0,0,0.0
Aston Villa,Finley Munroe,Defender,0,0,0,0,0,0,0.0
Aston Villa,L. Emery,Goalkeeper,0,0,0,0,0,0,0.0
Aston Villa,N. Zaniolo,Midfielder,0,0,0,0,0,0,0.0
Aston Villa,O. Kellyman,Midfielder,0,0,0,0,0,0,0.0
Aston Villa,S. Revan,Midfielder,0,0,0,0,0,0,0.0
Aston Villa,T. Iroegbunam,Midfielder,0,0,0,0,0,0,0.0
Atalanta,A. Oliveri,Midfielder,0,0,0,0,0,0,0.0
Atalanta,C. Okoli,Defender,0,0,0,0,0,0,0.0
Atalanta,D. Zapata,Attacker,0,0,0,0,0,0,0.0
Atalanta,G. Cittadini,Defender,0,0,0,0,0,0,0.0
Atalanta,N. Cambiaghi,Attacker,0,0,0,0,0,0,0.0
